Company,TypeName,Inches,ScreenResolution,Cpu,Ram,Memory,Gpu,OpSys,Weight,Price,Touchscreen,Ips,X_res,Y_res,ppi,Cpu Name,Cpu brand,HDD,SSD,Hybrid,Flash_Storage,Gpu brand,os,gpu_AMD,gpu_Intel,gpu_Nvidia,cpu_brand_AMD Processor,cpu_brand_Intel Core i3,cpu_brand_Intel Core i5,cpu_brand_Intel Core i7,cpu_brand_Other Intel Processor
HP,Notebook,15.6,Full HD 1920x1080,Intel Core i5 6200U 2.3GHz,4,500 HDD,Intel HD Graphics 520,Windows 10,2.07,48484.8,0,0,1920,1080,141.21199808219862,Intel Core i5,Intel Core i5,500,0,0,0,Intel,Windows,0,1,0,0,0,1,0,0
Acer,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,4,1000 HDD,Nvidia GeForce MX150,Windows 10,2.2,32660.64,0,1,1920,1080,141.21199808219862,Intel Core i5,Intel Core i5,1000,0,0,0,Nvidia,Windows,0,0,1,0,0,1,0,0
Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,256 SSD,AMD Radeon 520,Linux,2.14,39164.5296,0,0,1920,1080,141.21199808219862,Intel Core i7,Intel Core i7,0,256,0,0,AMD,Others/No OS/Linux,1,0,0,0,0,0,1,0
HP,Notebook,14.0,1366x768,Intel Core i5 7200U 2.5GHz,4,500 HDD,Intel HD Graphics 620,Windows 10,1.64,41505.12,0,0,1366,768,111.93520355955211,Intel Core i5,Intel Core i5,500,0,0,0,Intel,Windows,0,1,0,0,0,1,0,0
HP,2 in 1 Convertible,13.3,Touchscreen 2560x1440,Intel Core i7 6600U 2.6GHz,8,256 SSD,Intel HD Graphics 520,Windows 10,1.48,95850.72,1,0,2560,1440,220.84282406840083,Intel Core i7,Intel Core i7,0,256,0,0,Intel,Windows,0,1,0,0,0,0,1,0
Acer,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,256 SSD,Nvidia GeForce MX150,Windows 10,3.0,50669.28,0,1,1920,1080,141.21199808219862,Intel Core i7,Intel Core i7,0,256,0,0,Nvidia,Windows,0,0,1,0,0,0,1,0
Asus,Gaming,17.3,IPS Panel Full HD 1920x1080,Intel Core i7 6820HK 2.7GHz,32,512 SSD,Nvidia GeForce GTX 1080,Windows 10,3.8,149130.72,0,1,1920,1080,127.33567457123111,Intel Core i7,Intel Core i7,0,512,0,0,Nvidia,Windows,0,0,1,0,0,0,1,0
Dell,Notebook,14.0,Full HD 1920x1080,Intel Core i5 7300U 2.6GHz,8,256 SSD,Intel HD Graphics 620,Windows 10,1.64,68184.0144,0,0,1920,1080,157.3505121487356,Intel Core i5,Intel Core i5,0,256,0,0,Intel,Windows,0,1,0,0,0,1,0,0
Lenovo,Ultrabook,14.0,IPS Panel 2560x1440,Intel Core i7 7500U 2.7GHz,8,512 SSD,Intel HD Graphics 620,Windows 10,1.13,121584.96,0,1,2560,1440,209.8006828649808,Intel Core i7,Intel Core i7,0,512,0,0,Intel,Windows,0,1,0,0,0,0,1,0
Lenovo,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8,128 SSD +  1000 HDD,Nvidia GeForce GTX 1050,Windows 10,2.5,53226.72,0,1,1920,1080,141.21199808219862,Intel Core i5,Intel Core i5,1000,128,0,0,Nvidia,Windows,0,0,1,0,0,1,0,0
Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8,256 SSD,Intel HD Graphics 620,Windows 10,1.9,59513.2272,0,0,1920,1080,141.21199808219862,Intel Core i5,Intel Core i5,0,256,0,0,Intel,Windows,0,1,0,0,0,1,0,0
Acer,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,4,500 HDD,Intel HD Graphics 620,Linux,2.4,23539.104,0,0,1366,768,100.45466986113651,Intel Core i5,Intel Core i5,500,0,0,0,Intel,Others/No OS/Linux,0,1,0,0,0,1,0,0
Asus,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16,256 SSD +  1000 HDD,Nvidia GeForce GTX1050 Ti,Windows 10,3.0,80133.12,0,0,1920,1080,127.33567457123111,Intel Core i7,Intel Core i7,1000,256,0,0,Nvidia,Windows,0,0,1,0,0,0,1,0
Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,128 SSD +  1000 HDD,AMD Radeon 530,Windows 10,2.2,38308.32,0,0,1920,1080,141.21199808219862,Intel Core i5,Intel Core i5,1000,128,0,0,AMD,Windows,1,0,0,0,0,1,0,0
Dell,Ultrabook,14.0,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,256 SSD,Intel UHD Graphics 620,Windows 10,1.6,61218.72,0,0,1920,1080,157.3505121487356,Intel Core i5,Intel Core i5,0,256,0,0,Intel,Windows,0,1,0,0,0,1,0,0
Dell,Gaming,15.6,IPS Panel 4K Ultra HD 3840x2160,Intel Core i7 7700HQ 2.8GHz,16,256 SSD +  1000 HDD,Nvidia GeForce GTX 1070,Windows 10,4.42,152859.7872,0,1,3840,2160,282.42399616439724,Intel Core i7,Intel Core i7,1000,256,0,0,Nvidia,Windows,0,0,1,0,0,0,1,0
Dell,Ultrabook,15.6,Full HD 1920x1080,Intel Core i7 8650U 1.9GHz,16,512 SSD +  256 SSD,Intel UHD Graphics 620,Windows 10,1.88,85672.1088,0,0,1920,1080,141.21199808219862,Intel Core i7,Intel Core i7,0,768,0,0,Intel,Windows,0,1,0,0,0,0,1,0
HP,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4,128 SSD +  1000 HDD,AMD Radeon 520,Windows 10,2.1,26586.72,0,0,1920,1080,141.21199808219862,Intel Core i3,Intel Core i3,1000,128,0,0,AMD,Windows,1,0,0,0,1,0,0,0
HP,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,4,256 SSD,Intel HD Graphics 620,Windows 10,2.04,44701.92,0,0,1920,1080,141.21199808219862,Intel Core i5,Intel Core i5,0,256,0,0,Intel,Windows,0,1,0,0,0,1,0,0
Acer,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,12,128 SSD +  1000 HDD,Nvidia GeForce GTX 950M,Windows 10,2.4,53759.52,0,0,1920,1080,141.21199808219862,Intel Core i5,Intel Core i5,1000,128,0,0,Nvidia,Windows,0,0,1,0,0,1,0,0
HP,Notebook,14.0,1366x768,Intel Celeron Dual Core N3060 1.6GHz,2,32 Flash Storage,Intel HD Graphics 400,Windows 10,1.44,13266.72,0,0,1366,768,111.93520355955211,Intel Celeron Dual,Other Intel Processor,0,0,0,32,Intel,Windows,0,1,0,0,0,0,0,1
Lenovo,Ultrabook,14.0,IPS Panel Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8,512 SSD,Intel HD Graphics 620,Windows 10,1.13,133146.72,0,1,1920,1080,157.3505121487356,Intel Core i7,Intel Core i7,0,512,0,0,Intel,Windows,0,1,0,0,0,0,1,0
Dell,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,4,500 HDD,AMD Radeon R5 M430,Windows 10,2.25,31914.72,0,0,1366,768,100.45466986113651,Intel Core i5,Intel Core i5,500,0,0,0,AMD,Windows,1,0,0,0,0,1,0,0
Lenovo,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,4,1000 HDD,Nvidia GeForce GTX 1050,Windows 10,2.4,53226.72,0,1,1920,1080,141.21199808219862,Intel Core i7,Intel Core i7,1000,0,0,0,Nvidia,Windows,0,0,1,0,0,0,1,0
HP,Notebook,13.3,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,4,128 SSD,Intel UHD Graphics 620,Windows 10,1.49,38681.28,0,1,1920,1080,165.6321180513006,Intel Core i5,Intel Core i5,0,128,0,0,Intel,Windows,0,1,0,0,0,1,0,0
Dell,Ultrabook,13.3,Quad HD+ / Touchscreen 3200x1800,Intel Core i7 8550U 1.8GHz,8,256 SSD,Intel UHD Graphics 620,Windows 10,1.2,74538.72,1,0,3200,1800,276.053530085501,Intel Core i7,Intel Core i7,0,256,0,0,Intel,Windows,0,1,0,0,0,0,1,0
MSI,Gaming,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16,256 SSD +  2000 HDD,Nvidia GeForce GTX 1070,Windows 10,1.8,119427.12,0,0,1920,1080,141.21199808219862,Intel Core i7,Intel Core i7,2000,256,0,0,Nvidia,Windows,0,0,1,0,0,0,1,0
Microsoft,Ultrabook,13.5,Touchscreen 2256x1504,Intel Core M m3-7Y30 2.2GHz,4,128 SSD,Intel HD Graphics 615,Windows 10 S,1.252,52693.92,1,0,2256,1504,200.84255993695703,Intel Core M,Other Intel Processor,0,128,0,0,Intel,Windows,0,1,0,0,0,0,0,1
Dell,Notebook,17.3,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,128 SSD +  1000 HDD,AMD Radeon 530,Windows 10,2.8,60845.76,0,0,1920,1080,127.33567457123111,Intel Core i7,Intel Core i7,1000,128,0,0,AMD,Windows,1,0,0,0,0,0,1,0
Lenovo,Netbook,12.5,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i7 6500U 2.50GHz,16,512 SSD,Intel HD Graphics 520,Windows 10,1.3,87912.0,1,1,1920,1080,176.23257360658386,Intel Core i7,Intel Core i7,0,512,0,0,Intel,Windows,0,1,0,0,0,0,1,0
Acer,Notebook,15.6,Full HD 1920x1080,Intel Core i3 7100U 2.4GHz,4,1000 HDD,Intel HD Graphics 620,Windows 10,2.4,26586.72,0,0,1920,1080,141.21199808219862,Intel Core i3,Intel Core i3,1000,0,0,0,Intel,Windows,0,1,0,0,1,0,0,0
Asus,Gaming,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8,128 SSD +  1000 HDD,Nvidia GeForce GTX 1050,Windows 10,1.99,71928.0,0,0,1920,1080,141.21199808219862,Intel Core i7,Intel Core i7,1000,128,0,0,Nvidia,Windows,0,0,1,0,0,0,1,0
Acer,Notebook,15.6,1366x768,Intel Core i3 6006U 2.0GHz,4,500 HDD,Intel HD Graphics 520,Linux,2.4,19276.704,0,0,1366,768,100.45466986113651,Intel Core i3,Intel Core i3,500,0,0,0,Intel,Others/No OS/Linux,0,1,0,0,1,0,0,0
Lenovo,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7820HQ 2.9GHz,8,256 SSD,Nvidia Quadro M2200M,Windows 10,2.67,111355.2,0,0,1920,1080,141.21199808219862,Intel Core i7,Intel Core i7,0,256,0,0,Nvidia,Windows,0,0,1,0,0,0,1,0
MSI,Gaming,15.6,Full HD 1920x1080,Intel Core i7 6700HQ 2.6GHz,8,128 SSD +  1000 HDD,Nvidia GeForce GTX 1060,Windows 10,2.2,78647.1408,0,0,1920,1080,141.21199808219862,Intel Core i7,Intel Core i7,1000,128,0,0,Nvidia,Windows,0,0,1,0,0,0,1,0
Dell,Ultrabook,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,256 SSD,Intel UHD Graphics 620,Windows 10,1.88,58403.4048,0,1,1920,1080,141.21199808219862,Intel Core i5,Intel Core i5,0,256,0,0,Intel,Windows,0,1,0,0,0,1,0,0
Lenovo,Ultrabook,14.0,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,256 SSD,AMD Radeon RX 550,Windows 10,1.75,64755.44640000001,0,1,1920,1080,157.3505121487356,Intel Core i7,Intel Core i7,0,256,0,0,AMD,Windows,1,0,0,0,0,0,1,0
Lenovo,2 in 1 Convertible,14.0,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i7 6600U 2.6GHz,8,512 SSD,Nvidia Quadro M500M,Windows 7,1.8,109244.2464,1,1,1920,1080,157.3505121487356,Intel Core i7,Intel Core i7,0,512,0,0,Nvidia,Windows,0,0,1,0,0,0,1,0
Lenovo,Notebook,14.0,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,256 SSD,AMD Radeon RX 550,Windows 10,1.75,59461.5456,0,1,1920,1080,157.3505121487356,Intel Core i5,Intel Core i5,0,256,0,0,AMD,Windows,1,0,0,0,0,1,0,0
Lenovo,Notebook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,256 SSD,Intel UHD Graphics 620,Windows 10,2.05,46886.4,0,0,1920,1080,141.21199808219862,Intel Core i7,Intel Core i7,0,256,0,0,Intel,Windows,0,1,0,0,0,0,1,0
Dell,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,8,1000 HDD,AMD Radeon R7 M445,Windows 10,2.5,41771.52,0,0,1366,768,100.45466986113651,Intel Core i5,Intel Core i5,1000,0,0,0,AMD,Windows,1,0,0,0,0,1,0,0
Toshiba,Notebook,13.3,Full HD 1920x1080,Intel Core i5 6300U 2.4GHz,8,256 SSD,Intel HD Graphics 520,Windows 10,1.2,81784.8,0,0,1920,1080,165.6321180513006,Intel Core i5,Intel Core i5,0,256,0,0,Intel,Windows,0,1,0,0,0,1,0,0
Dell,Notebook,13.3,1366x768,Intel Core i3 6006U 2GHz,4,500 HDD,Intel HD Graphics 520,Windows 10,1.65,45234.72,0,0,1366,768,117.82653006268643,Intel Core i3,Intel Core i3,500,0,0,0,Intel,Windows,0,1,0,0,1,0,0,0
Lenovo,Notebook,15.6,Full HD 1920x1080,Intel Core i3 7100U 2.4GHz,8,1000 HDD,Nvidia GeForce 940MX,No OS,2.2,26586.72,0,0,1920,1080,141.21199808219862,Intel Core i3,Intel Core i3,1000,0,0,0,Nvidia,Others/No OS/Linux,0,0,1,0,1,0,0,0
Dell,Ultrabook,13.3,Full HD / Touchscreen 1920x1080,Intel Core i5 8250U 1.6GHz,8,256 SSD,Intel UHD Graphics 620,Windows 10,1.42,98133.768,1,0,1920,1080,165.6321180513006,Intel Core i5,Intel Core i5,0,256,0,0,Intel,Windows,0,1,0,0,0,1,0,0
HP,Notebook,15.6,Full HD 1920x1080,AMD A9-Series A9-9420 3GHz,6,128 SSD +  1000 HDD,AMD Radeon 520,Windows 10,2.1,34632.0,0,0,1920,1080,141.21199808219862,AMD A9-Series A9-9420,AMD Processor,1000,128,0,0,AMD,Windows,1,0,0,1,0,0,0,0
Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,4,1000 HDD,AMD Radeon 530,Windows 10,2.2,41345.28,0,0,1920,1080,141.21199808219862,Intel Core i5,Intel Core i5,1000,0,0,0,AMD,Windows,1,0,0,0,0,1,0,0
Lenovo,Notebook,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,4,256 SSD,Intel UHD Graphics 620,Windows 10,1.8,44169.12,0,0,1920,1080,141.21199808219862,Intel Core i5,Intel Core i5,0,256,0,0,Intel,Windows,0,1,0,0,0,1,0,0
Acer,Notebook,15.6,1366x768,Intel Core i3 6006U 2GHz,4,500 HDD,Intel HD Graphics 520,Windows 10,2.4,21887.424,0,0,1366,768,100.45466986113651,Intel Core i3,Intel Core i3,500,0,0,0,Intel,Windows,0,1,0,0,1,0,0,0
MSI,Gaming,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8,128 SSD +  1000 HDD,Nvidia GeForce GTX 1050,Windows 10,2.2,61218.72,0,0,1920,1080,141.21199808219862,Intel Core i7,Intel Core i7,1000,128,0,0,Nvidia,Windows,0,0,1,0,0,0,1,0
Asus,Ultrabook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,16,256 SSD +  1000 HDD,Nvidia GeForce MX150,Windows 10,1.5,67239.36,0,0,1920,1080,141.21199808219862,Intel Core i7,Intel Core i7,1000,256,0,0,Nvidia,Windows,0,0,1,0,0,0,1,0
Asus,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16,256 SSD +  1000 HDD,Nvidia GeForce GTX 1050 Ti,Windows 10,2.5,85248.0,0,1,1920,1080,141.21199808219862,Intel Core i7,Intel Core i7,1000,256,0,0,Nvidia,Windows,0,0,1,0,0,0,1,0
Lenovo,Notebook,14.0,IPS Panel Full HD 1920x1080,Intel Core i5 6200U 2.3GHz,8,256 SSD,Intel HD Graphics 520,Windows 10,1.9,57116.16,0,1,1920,1080,157.3505121487356,Intel Core i5,Intel Core i5,0,256,0,0,Intel,Windows,0,1,0,0,0,1,0,0
Dell,Ultrabook,13.3,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8,256 SSD,Intel HD Graphics 620,Windows 10,1.29,77682.23999999999,0,0,1920,1080,165.6321180513006,Intel Core i7,Intel Core i7,0,256,0,0,Intel,Windows,0,1,0,0,0,0,1,0
HP,Notebook,15.6,IPS Panel Full HD 1920x1080,AMD A9-Series A9-9420 3GHz,6,256 SSD,AMD Radeon 530,Windows 10,1.95,34578.72,0,1,1920,1080,141.21199808219862,AMD A9-Series A9-9420,AMD Processor,0,256,0,0,AMD,Windows,1,0,0,1,0,0,0,0
Dell,Ultrabook,13.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i5 8250U 1.6GHz,8,128 SSD,Intel UHD Graphics 620,Windows 10,1.22,52161.12,1,1,1920,1080,165.6321180513006,Intel Core i5,Intel Core i5,0,128,0,0,Intel,Windows,0,1,0,0,0,1,0,0
Lenovo,2 in 1 Convertible,10.1,IPS Panel Touchscreen 1920x1200,Intel Atom x5-Z8550 1.44GHz,4,64 Flash Storage,Intel HD Graphics 400,Windows 10,0.69,34433.2656,1,1,1920,1200,224.17380907857276,Intel Atom x5-Z8550,Other Intel Processor,0,0,0,64,Intel,Windows,0,1,0,0,0,0,0,1
Dell,2 in 1 Convertible,11.6,Touchscreen 1366x768,Intel Pentium Quad Core N3710 1.6GHz,4,500 HDD,Intel HD Graphics 405,Windows 10,1.47,25521.12,1,0,1366,768,135.0942111925629,Intel Pentium Quad,Other Intel Processor,500,0,0,0,Intel,Windows,0,1,0,0,0,0,0,1
Acer,Notebook,13.3,1366x768,Intel Core i5 6200U 2.3GHz,4,128 SSD,Intel HD Graphics 520,Windows 10,1.6,34898.4,0,0,1366,768,117.82653006268643,Intel Core i5,Intel Core i5,0,128,0,0,Intel,Windows,0,1,0,0,0,1,0,0
Lenovo,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8,256 SSD,Intel HD Graphics 620,No OS,2.2,29250.72,0,0,1920,1080,141.21199808219862,Intel Core i5,Intel Core i5,0,256,0,0,Intel,Others/No OS/Linux,0,1,0,0,0,1,0,0
Asus,2 in 1 Convertible,12.5,Full HD / Touchscreen 1920x1080,Intel Core M M3-6Y30 0.9GHz,4,64 Flash Storage,Intel HD Graphics 515,Chrome OS,1.2,35644.32,1,0,1920,1080,176.23257360658386,Intel Core M,Other Intel Processor,0,0,0,64,Intel,Others/No OS/Linux,0,1,0,0,0,0,0,1
Lenovo,Notebook,14.0,1366x768,Intel Celeron Quad Core N3160 1.6GHz,4,16 Flash Storage,Intel HD Graphics 400,Chrome OS,1.5,17316.0,0,0,1366,768,111.93520355955211,Intel Celeron Quad,Other Intel Processor,0,0,0,16,Intel,Others/No OS/Linux,0,1,0,0,0,0,0,1
Dell,Notebook,15.6,1366x768,Intel Core i3 7100U 2.4GHz,4,1000 HDD,Intel HD Graphics 620,Windows 10,2.18,31254.048,0,0,1366,768,100.45466986113651,Intel Core i3,Intel Core i3,1000,0,0,0,Intel,Windows,0,1,0,0,1,0,0,0
Dell,Ultrabook,12.5,1366x768,Intel Core i3 6100U 2.3GHz,4,500 HDD,Intel HD Graphics 520,Windows 7,1.5,60480.792,0,0,1366,768,125.36742798669837,Intel Core i3,Intel Core i3,500,0,0,0,Intel,Windows,0,1,0,0,1,0,0,0
Asus,Gaming,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16,256 SSD +  1000 HDD,Nvidia GeForce GTX 1070,Windows 10,2.2,130482.72,0,0,1920,1080,141.21199808219862,Intel Core i7,Intel Core i7,1000,256,0,0,Nvidia,Windows,0,0,1,0,0,0,1,0
Acer,2 in 1 Convertible,11.6,IPS Panel Touchscreen 1366x768,Intel Celeron Quad Core N3160 1.6GHz,4,32 Flash Storage,Intel HD Graphics 400,Chrome OS,1.25,20193.12,1,1,1366,768,135.0942111925629,Intel Celeron Quad,Other Intel Processor,0,0,0,32,Intel,Others/No OS/Linux,0,1,0,0,0,0,0,1
Lenovo,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,6,256 SSD,Intel HD Graphics 620,Windows 10,2.2,30849.12,0,0,1920,1080,141.21199808219862,Intel Core i5,Intel Core i5,0,256,0,0,Intel,Windows,0,1,0,0,0,1,0,0
Toshiba,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 6500U 2.5GHz,16,256 SSD,Nvidia GeForce 930M,Windows 10,2.4,75924.0,0,1,1920,1080,141.21199808219862,Intel Core i7,Intel Core i7,0,256,0,0,Nvidia,Windows,0,0,1,0,0,0,1,0
HP,2 in 1 Convertible,13.3,IPS Panel Touchscreen 1366x768,Intel Core i5 7200U 2.5GHz,8,256 SSD,Intel HD Graphics 620,Windows 10,1.58,44574.048,1,1,1366,768,117.82653006268643,Intel Core i5,Intel Core i5,0,256,0,0,Intel,Windows,0,1,0,0,0,1,0,0
Asus,Gaming,17.3,IPS Panel Full HD 1920x1080,Intel Core i7 6700HQ 2.6GHz,16,128 SSD +  1000 HDD,Nvidia GeForce GTX 980M,Windows 10,4.3,122490.72,0,1,1920,1080,127.33567457123111,Intel Core i7,Intel Core i7,1000,128,0,0,Nvidia,Windows,0,0,1,0,0,0,1,0
HP,Ultrabook,12.5,1366x768,Intel Core i5 6300U 2.4GHz,8,256 SSD,Intel HD Graphics 520,Windows 7,1.26,100965.6,0,0,1366,768,125.36742798669837,Intel Core i5,Intel Core i5,0,256,0,0,Intel,Windows,0,1,0,0,0,1,0,0
Acer,Netbook,11.6,1366x768,Intel Celeron Dual Core 3205U 1.5GHz,2,32 SSD,Intel HD Graphics,Chrome OS,1.3,9270.72,0,0,1366,768,135.0942111925629,Intel Celeron Dual,Other Intel Processor,0,32,0,0,Intel,Others/No OS/Linux,0,1,0,0,0,0,0,1
HP,Notebook,17.3,IPS Panel Full HD 1920x1080,Intel Core i3 6006U 2GHz,4,256 SSD,AMD Radeon R5 520,Windows 10,2.5,37242.72,0,1,1920,1080,127.33567457123111,Intel Core i3,Intel Core i3,0,256,0,0,AMD,Windows,1,0,0,0,1,0,0,0
Lenovo,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4,1000 HDD,Intel HD Graphics 520,Windows 10,1.85,22105.872,0,0,1920,1080,141.21199808219862,Intel Core i3,Intel Core i3,1000,0,0,0,Intel,Windows,0,1,0,0,1,0,0,0
Lenovo,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8,256 SSD +  1000 HDD,Nvidia GeForce GTX 1060,No OS,2.4,61218.72,0,1,1920,1080,141.21199808219862,Intel Core i7,Intel Core i7,1000,256,0,0,Nvidia,Others/No OS/Linux,0,0,1,0,0,0,1,0
Dell,Ultrabook,13.3,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,4,256 SSD,AMD Radeon 530,Windows 10,1.4,43601.688,0,1,1920,1080,165.6321180513006,Intel Core i5,Intel Core i5,0,256,0,0,AMD,Windows,1,0,0,0,0,1,0,0
Dell,Workstation,15.6,Full HD 1920x1080,Intel Xeon E3-1505M V6 3GHz,8,64 Flash Storage +  1000 HDD,Nvidia Quadro M620,Windows 10,2.23,106187.04,0,0,1920,1080,141.21199808219862,Intel Xeon E3-1505M,Other Intel Processor,1000,0,0,64,Nvidia,Windows,0,0,1,0,0,0,0,1
Dell,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16,128 SSD +  1000 HDD,Nvidia GeForce GTX 1050 Ti,Windows 10,2.65,71874.72,0,1,1920,1080,141.21199808219862,Intel Core i7,Intel Core i7,1000,128,0,0,Nvidia,Windows,0,0,1,0,0,0,1,0
HP,Notebook,13.3,Full HD 1920x1080,Intel Core i3 7100U 2.4GHz,4,128 SSD,Intel HD Graphics 620,Windows 10,1.49,38308.32,0,0,1920,1080,165.6321180513006,Intel Core i3,Intel Core i3,0,128,0,0,Intel,Windows,0,1,0,0,1,0,0,0
Lenovo,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,4,128 SSD,Intel HD Graphics 620,Windows 10,1.9,26533.44,0,0,1366,768,100.45466986113651,Intel Core i5,Intel Core i5,0,128,0,0,Intel,Windows,0,1,0,0,0,1,0,0
Lenovo,Notebook,15.6,1366x768,Intel Pentium Quad Core N4200 1.1GHz,4,1000 HDD,Intel HD Graphics 505,Windows 10,2.2,16463.52,0,0,1366,768,100.45466986113651,Intel Pentium Quad,Other Intel Processor,1000,0,0,0,Intel,Windows,0,1,0,0,0,0,0,1
Lenovo,2 in 1 Convertible,15.6,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i7 7700HQ 2.8GHz,8,512 SSD,Nvidia GeForce GTX 1050M,Windows 10,2.0,90522.72,1,1,1920,1080,141.21199808219862,Intel Core i7,Intel Core i7,0,512,0,0,Nvidia,Windows,0,0,1,0,0,0,1,0
Asus,Ultrabook,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,16,512 SSD,Nvidia GeForce 940MX,Windows 10,1.63,78215.04,0,0,1920,1080,141.21199808219862,Intel Core i7,Intel Core i7,0,512,0,0,Nvidia,Windows,0,0,1,0,0,0,1,0
Lenovo,Notebook,17.3,1600x900,AMD A4-Series 7210 2.2GHz,4,500 HDD,AMD Radeon R3,Windows 10,2.8,20193.12,0,0,1600,900,106.11306214269258,AMD A4-Series 7210,AMD Processor,500,0,0,0,AMD,Windows,1,0,0,1,0,0,0,0
Acer,2 in 1 Convertible,11.6,IPS Panel Touchscreen 1366x768,Intel Celeron Dual Core N3060 1.6GHz,4,32 Flash Storage,Intel HD Graphics 400,Chrome OS,1.25,20725.92,1,1,1366,768,135.0942111925629,Intel Celeron Dual,Other Intel Processor,0,0,0,32,Intel,Others/No OS/Linux,0,1,0,0,0,0,0,1
Lenovo,Gaming,15.6,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i7 6700HQ 2.6GHz,16,128 SSD +  1000 HDD,Nvidia GeForce GTX 960M,Windows 10,2.6,54825.12,1,1,1920,1080,141.21199808219862,Intel Core i7,Intel Core i7,1000,128,0,0,Nvidia,Windows,0,0,1,0,0,0,1,0
Lenovo,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,6,1000 HDD,Intel HD Graphics 620,Windows 10,2.4,30049.92,0,0,1920,1080,141.21199808219862,Intel Core i5,Intel Core i5,1000,0,0,0,Intel,Windows,0,1,0,0,0,1,0,0
Asus,Notebook,15.6,1366x768,Intel Celeron Dual Core N3050 1.6GHz,4,500 HDD,Intel HD Graphics,Windows 10,2.2,19660.32,0,0,1366,768,100.45466986113651,Intel Celeron Dual,Other Intel Processor,500,0,0,0,Intel,Windows,0,1,0,0,0,0,0,1
Dell,Notebook,15.6,1366x768,Intel Core i3 6006U 2.0GHz,4,1000 HDD,AMD Radeon R5 M420X,Linux,2.18,24279.696,0,0,1366,768,100.45466986113651,Intel Core i3,Intel Core i3,1000,0,0,0,AMD,Others/No OS/Linux,1,0,0,0,1,0,0,0
